InventoryID,Glottocode,ISO6393,LanguageName,SpecificDialect,GlyphID,Phoneme,Allophones,Marginal,SegmentClass,Source,tone,stress,syllabic,short,long,consonantal,sonorant,continuant,delayedRelease,approximant,tap,trill,nasal,lateral,labial,round,labiodental,coronal,anterior,distributed,strident,dorsal,high,low,front,back,tense,retractedTongueRoot,advancedTongueRoot,periodicGlottalSource,epilaryngealSource,spreadGlottis,constrictedGlottis,fortis,lenis,raisedLarynxEjective,loweredLarynxImplosive,click,IsVowel,PhonemeLength
2197,kore1280,kor,Korean,Standard Korean (spoken in and around Seoul),0070+0349,p͉,p͉ b p͉̚,False,consonant,ph,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2
2197,kore1280,kor,Korean,Standard Korean (spoken in and around Seoul),0073,s,s ɕʰ,False,consonant,ph,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
2197,kore1280,kor,Korean,Standard Korean (spoken in and around Seoul),0073+0349,s͉,s͉ z ɕ,False,consonant,ph,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2
2197,kore1280,kor,Korean,Standard Korean (spoken in and around Seoul),0074,t,t t̚,False,consonant,ph,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
2197,kore1280,kor,Korean,Standard Korean (spoken in and around Seoul),0074+0255,tɕ,tɕ t̚,False,consonant,ph,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
2197,kore1280,kor,Korean,Standard Korean (spoken in and around Seoul),0074+0255+02B0,tɕʰ,tɕʰ t̚,False,consonant,ph,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,3
2197,kore1280,kor,Korean,Standard Korean (spoken in and around Seoul),0074+02B0,tʰ,tʰ t̚,False,consonant,ph,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2
2197,kore1280,kor,Korean,Standard Korean (spoken in and around Seoul),0074+0349,t͉,t͉ d t͉̚,False,consonant,ph,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2
2197,kore1280,kor,Korean,Standard Korean (spoken in and around Seoul),0074+0349+0255+0349,t͉ɕ͉,t͉ɕ͉ t̚,False,consonant,ph,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,4
2197,kore1280,kor,Korean,Standard Korean (spoken in and around Seoul),014B,ŋ,ŋ,False,consonant,ph,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
